timer2_elapsedAll_ms,
263.681,
273.684,
283.684,
293.696,
303.689,
313.686,
323.684,
333.681,
343.68,
353.683,
363.697,
373.696,
383.696,
393.699,
403.693,
413.692,
423.694,
433.694,
443.696,
453.694,
463.693,
473.694,
483.696,
493.703,
503.695,
513.695,
523.694,
533.692,
543.695,
553.694,
563.696,
573.696,
583.721,
593.709,
603.696,
613.698,
623.694,
633.695,
643.704,
653.682,
663.682,
673.697,
683.697,
693.698,
703.698,
713.693,
723.701,
733.695,
743.696,
753.695,
763.705,
773.695,
783.69,
793.678,
803.685,
813.699,
823.698,
833.704,
843.704,
853.696,
863.702,
873.694,
883.703,
893.704,
903.705,
913.696,
923.683,
933.692,
943.713,
953.715,
963.694,
973.702,
983.714,
993.707,
1003.7,
1013.7,
1023.7,
1033.7,
1043.7,
1053.7,
1063.69,
1073.71,
1083.7,
1093.7,
1103.72,
1113.7,
1123.69,
1133.69,
1143.69,
1153.69,
1163.69,
1173.68,
1183.69,
1193.7,
1203.7,
1213.7,
1223.7,
1233.7,
1243.71,
1253.7,
1263.7,
1273.7,
1283.7,
1293.7,
1303.7,
1313.7,
1323.7,
1333.7,
1343.7,
1353.7,
1363.7,
1373.72,
1383.71,
1393.7,
1403.7,
1413.7,
1423.7,
1433.69,
1443.69,
1453.68,
1463.68,
1473.68,
1483.69,
1493.69,
1503.71,
1512.76,
1522.78,
1532.75,
1543.74,
1553.71,
1563.69,
1573.68,
1583.68,
1593.68,
1603.68,
1613.69,
1623.69,
1633.69,
1643.68,
1653.69,
1663.68,
1673.68,
1683.69,
1693.68,
1703.68,
1713.68,
1723.68,
1733.7,
1743.68,
1753.7,
1763.68,
1773.68,
1783.68,
1793.69,
1803.68,
1813.68,
1823.68,
1833.68,
1843.69,
1853.69,
1863.68,
1873.68,
1883.68,
1893.69,
1903.68,
1913.67,
1923.67,
1933.68,
1943.68,
1953.67,
1963.69,
1973.72,
1982.77,
1992.89,
2002.89,
2012.89,
2022.91,
2032.89,
2042.88,
2052.89,
2062.89,
2072.89,
2082.83,
2092.9,
2102.83,
2112.78,
2122.9,
2132.89,
2142.95,
2152.88,
2162.9,
2172.88,
2182.9,
2192.83,
2202.8,
2212.89,
2222.9,
2232.86,
2242.78,
2252.88,
2262.86,
2272.83,
2282.87,
2292.84,
2302.78,
2312.82,
2322.81,
2332.84,
2342.89,
2352.77,
2362.76,
2372.76,
2383.72,
2393.73,
2403.7,
2413.69,
2423.69,
2433.69,
2443.68,
2453.68,
2463.67,
2473.67,
2483.67,
2493.67,
2503.68,
2513.67,
2523.67,
2533.67,
2543.69,
2553.67,
2563.67,
2573.67,
2583.67,
2593.67,
2603.67,
2613.67,
2623.67,
2633.67,
2643.67,
2653.68,
2663.68,
2673.67,
2683.67,
2693.68,
2703.68,
2713.67,
2723.67,
2733.67,
2743.67,
2753.69,
2763.68,
2773.68,
2783.69,
2793.68,
2803.69,
2813.68,
2823.68,
2833.68,
2842.76,
2852.85,
2862.9,
